GEOLOC_CD,MILSTAMP_CD,WTR_BDY_CD,ICAO_CD,CTRY_CD,GEOLOC_NM,GEOLOC_TY_CD,LAT_CN,LONG_CN,UPD_SOURCE,UPDATE_TIME,GEOLOC_INDX,TRX_TIME,TRX_DELETED
001Z,   ,6E,    ,REDSE,Centcom Aor      ,OPA,26.216666,50.583333,,0,0,,0
003Z,   ,1A,    ,NATL,Northcom Aor     ,OPA,52,-102,,0,0,,0
004Z,   ,1A,    ,NATL,Eucom Aor        ,OPA,48,-6,,0,0,,0
005Z,   ,4A,    ,SPAC,Pacom Aor        ,OPA,0,-162,,0,0,,0
006Z,   ,2A,    ,SATLO,Southcom Aor     ,OPA,-20,-54,,0,0,,0
00A1,   ,1A,    ,NATL,Nw Atlantic      ,OCN,40,-66,,0,1,0,0
00A2,   ,5A,    ,ARTC,Resmob           ,ADM,89.983333,0,,0,2,0,0
00A3,   ,1X,    ,CRBN,Caribbean        ,SEA,18,-75,,0,3,0,0
00A4,   ,2A,    ,SATLO,Sw Atlantic      ,OCN,-20,-30,,0,4,0,0
00A5,   ,1A,    ,NATL,Ne Atlantic      ,OCN,45,-15,,0,5,0,0
00A6,   ,8E,    ,EMEDS,Mediterranean    ,SEA,36,18,,0,0,,0
00A7,   ,6E,    ,REDSE,Red Sea Persian G,OCN,16,42,,0,7,0,0
00A8,   ,1A,    ,NATL,Canadianopareas  ,OCN,42,-63,,0,8,0,0
00AA,   ,1X,    ,CRBN,Colombian Basin  ,SEA,15,-75,,0,9,0,0
00AB,   ,1X,    ,CRBN,Venezuelan Basin ,SEA,15,-68,,0,10,0,0
00AC,   ,1A,    ,NATL,Guiana Basin     ,SEA,12,-53,,0,11,0,0
00AD,   ,2A,    ,SATLO,Yrgentine Basin  ,SEA,-45,-52,,0,12,0,0
00AE,   ,1A,    ,NATL,Cape Verde Basin ,SEA,15,-35,,0,13,0,0
00AF,   ,2D,    ,DRAKE,Drake Passage    ,STR,-53,-65,,0,14,0,0
00AG,   ,AR,    ,ARGEN,Str Of Magellan  ,STR,-52.333333,-68,,0,15,0,0
00AH,   ,2R,    ,RIOPL,Rio De La Plata  ,GLF,-37,-54,,0,16,0,0
00AJ,   ,2A,    ,SATLO,Bahia Blanca     ,BAY,-41,-60,,0,17,0,0
00AK,   ,2M,    ,SNMTS,Gulfo San Matias ,GLF,-42,-62,,0,18,0,0
00AL,   ,2J,    ,SNJRG,Gulf Of San Jorge,GLF,-46,-64,,0,19,0,0
00AM,   ,AR,    ,ARGEN,Bahia Grande     ,BAY,-51,-67,,0,20,0,0
00AN,   ,4A,    ,SPAC,Gulfo Trinidad   ,GLF,-50,-78,,0,21,0,0
00AO,   ,1A,    ,NATL,Atlantic Ocean   ,OCN,0.016666,-30.016666,,0,0,,0
00AP,   ,4A,    ,SPAC,Gulf Of Penas    ,GLF,-47,-78,,0,22,0,0
00AQ,   ,4A,    ,SPAC,Gulfo Corcovado  ,GLF,-44,-77,,0,23,0,0
00AR,   ,4A,    ,SPAC,Peru Chile Trench,OCN,-24,-75,,0,24,0,0
00AS,   ,EC,    ,ECUAD,Punta Parinas    ,OPA,-5,-83,,0,25,0,0
00AT,   ,PE,    ,PERU,Bahia Caraquez   ,BAY,-0.5,-82,,0,26,0,0
00AU,   ,BF,    ,BAHAM,Autec Oparea     ,OPA,24.5,-77.5,,0,27,0,0
00AV,   ,2A,    ,SATLO,Rio Grande Rise  ,OCN,-32,-43,,0,28,0,0
00AW,   ,8R,    ,ARAL,Aral Sea         ,SEA,45,60,,0,29,0,0
00AY,   ,1A,    ,NATL,Ne Coast Brazil  ,OCN,2,-43,,0,30,0,0
00AZ,   ,2A,    ,SATLO,Se Coast Brazil  ,OCN,-21,-34,,0,31,0,0
00BA,   ,1X,    ,CRBN,Caratasca Lagoon ,BAY,15.5,-83.5,,0,32,0,0
00BB,   ,1X,    ,CRBN,Gulf Los Mosquito,GLF,9.5,-81.5,,0,33,0,0
00BC,   ,1X,    ,CRBN,Gulf Of San Blas ,GLF,9.5,-79,,0,34,0,0
00BD,   ,1X,    ,CRBN,Gulf Of Uraba    ,GLF,8.333333,-77,,0,35,0,0
00BE,   ,1X,    ,CRBN,Gulf Morrosquillo,GLF,10.166666,-76.25,,0,36,0,0
00BF,   ,1X,    ,CRBN,Gulf Of Paria    ,GLF,10.5,-62,,0,37,0,0
00BG,   ,3A,    ,NPAC,Pacific Chop Pt N,OCN,10.333333,-92,,0,38,0,0
00BH,   ,4A,    ,SPAC,Pacific Chop Pt S,OCN,-44,-92,,0,39,0,0
00BJ,   ,1X,    ,CRBN,San Antonio Del S,SEA,20,-74.666666,,0,40,0,0
00BK,   ,1X,    ,CRBN,Bahia De Ovando  ,BAY,20.083333,-74.083333,,0,41,0,0
00BL,   ,5A,    ,ARTC,Arctic Chop Pt E ,OCN,82,100,,0,42,0,0
00BM,   ,5A,    ,ARTC,Arctic Chop Pt W ,OCN,82,-95,,0,43,0,0
00BN,   ,2A,    ,SATLO,Atlantic Chop Pt ,OCN,-33.833333,17,,0,44,0,0
00BP,   ,1M,    ,G MEX,Yucatan Channel  ,CHL,22,-85.833333,,0,45,0,0
00BQ,   ,1M,    ,G MEX,Bahia De Campeche,BAY,21,-93,,0,46,0,0
00BZ,   ,7T,    ,BTHNA,Gulf Of Bothnia  ,GLF,63,20,ILAP (name),1075769189,47,0,0
00DB,   ,1B,    ,BBSCY,Bay Of Biscay    ,BAY,45,7.5,ILAP (name),1075769189,48,0,0
00DC,   ,1E,    ,ENGCH,English Chan     ,CHL,50,2,,0,49,0,0
00DF,   ,1F,    ,BFNDY,Bay Of Fundy     ,BAY,45,-66,ILAP (name),1075769189,50,0,0
00DH,   ,1V,    ,DAVIS,Davis Strait     ,STR,65,-57.5,,0,51,0,0
00DI,   ,1R,    ,IRISH,Irish Sea        ,SEA,53.5,-5,,0,52,0,0
00DJ,   ,1K,    ,INRSE,Inner Sea        ,SEA,57,-7,,0,53,0,0
00DK,   ,1D,    ,DENST,Denmark Straits  ,STR,54.833333,1.883333,,0,54,0,0
00DL,   ,1C,    ,BRSTL,Bristol Chan     ,CHL,51.333333,-4.5,,0,55,0,0
00DN,   ,1N,    ,NSEA,N Sea            ,SEA,57,2.5,,0,56,0,0
00DP,   ,1L,    ,LBDR,Labrador Sea     ,SEA,57.5,-52.5,,0,57,0,0
00DS,   ,1S,    ,SKGRK,Skagerrak        ,SEA,57.833333,9,,0,58,0,0
00DT,   ,1T,    ,STLAW,Glf St Lawrence  ,GLF,48.333333,-62,,0,59,0,0
00DU,   ,1U,    ,HUDST,Hudson Strai     ,STR,62,-70,,0,60,0,0
00DV,   ,1H,    ,HUDBY,Hudson Bay       ,BAY,59,-85,,0,61,0,0
00DW,   ,5N,    ,NRWGN,Norwegian Se     ,SEA,67,5,,0,62,0,0
00DX,YHB,CA,CYHB,CANAD,Hudson Bay       ,AFD,52.816666,-102.311388,,0,63,0,0
00EA,   ,3A,    ,NPAC,Gulf Of Fonseca  ,GLF,13,-87.666666,,0,64,0,0
00EB,   ,3A,    ,NPAC,Gulf Of Papagayo ,GLF,10.733333,-86,,0,65,0,0
00EC,   ,3A,    ,NPAC,Gulf Of Nicoya   ,GLF,9.833333,-84.833333,,0,66,0,0
00ED,   ,1G,    ,GGUIN,Gulf Of Guinea   ,GLF,2,4,ILAP (name),1075769189,67,0,0
00EE,   ,3A,    ,NPAC,Golfo Dulce      ,GLF,8.166666,-83.25,,0,68,0,0
00EF,   ,3A,    ,NPAC,Gulf Of Montijo  ,GLF,7.333333,-81.25,,0,69,0,0
00EG,   ,3A,    ,NPAC,Gulf Of Panama   ,GLF,8,-79,,0,70,0,0
00EH,   ,2S,    ,SCTAS,Scotia Sea       ,SEA,-57,-40,,0,71,0,0
00EJ,   ,3A,    ,NPAC,Gulf Of Cupica   ,GLF,6.5,-77.666666,,0,72,0,0
00EK,   ,2D,    ,DRAKE,Drake Passag     ,PSG,-57.5,-60,,0,73,0,0
00EL,   ,3Y,    ,YELLS,Yellow Sea       ,SEA,34,123,,0,74,0,0
00EM,   ,3A,    ,NPAC,Ancon De Sardinas,BAY,10,-79.5,,0,75,0,0
00EN,   ,1X,    ,CRBN,Gulf Of Honduras ,GLF,16.5,-87.5,,0,76,0,0
00EW,   ,2W,    ,WEDLS,Weddell Sea      ,SEA,-73,-40,,0,77,0,0
00FA,   ,GT,    ,GUATE,Guatemala Coast  ,OPA,13.833333,-92.833333,,0,78,0,0
00FB,   ,ES,    ,ELSAL,El Salvador Coast,OPA,13.6,-89.833333,,0,79,0,0
00FC,   ,NU,    ,NICG,Nicaragua Coast  ,OPA,12,-87,,0,80,0,0
00FD,   ,6D,    ,ADENG,Gulf Of Aden     ,GLF,12,48,ILAP (name),1075769189,81,0,0
00FX,   ,6L,    ,LACDV,Laccadive Se     ,SEA,8,75,,0,82,0,0
00FY,   ,6M,    ,G OMN,Gulf Of Oman     ,GLF,25,58,ILAP (name),1075769189,83,0,0
00HI,   ,3A,    ,NPAC,Hawaiian Op Area ,OPA,20,-157,,0,0,,0
00IB,   ,6B,    ,BBNGL,Bay Of Bengal    ,BAY,15,80,ILAP (name),1075769189,84,0,0
00IC,   ,6N,    ,ANDMN,Andaman Sea      ,SEA,12.5,94.833333,,0,85,0,0
00ID,   ,1X,    ,CRBN,Santa Marta Coast,OPA,11.5,-74.5,,0,86,0,0
00IE,   ,1X,    ,CRBN,Sigua Coast      ,OPA,19.833333,-75.433333,,0,87,0,0
00IF,   ,1X,    ,CRBN,Costa Rica Coast ,OPA,10.5,-82.666666,,0,88,0,0
00IG,   ,6G,    ,GTAUS,Gr Australian Bt ,SEA,-33,130,,0,89,0,0
00II,   ,4L,    ,BALI,Bali Sea         ,SEA,-6,115,,0,90,0,0
00IJ,   ,4J,    ,JAVA,Java Sea         ,SEA,-10.5,110,,0,91,0,0
00IK,   ,6Z,    ,MOZBC,Mozambique Chan  ,CHL,-20,43,,0,92,0,0
00IM,   ,6C,    ,MALCA,Malacca          ,STR,2.5,101.333333,,0,93,0,0
00IO,   ,6A,    ,INDOC,Indian Ocean     ,OCN,-15,75,,0,94,0,0
00IS,   ,8E,    ,EMEDS,Iskendern Bay    ,BAY,37.666666,36,,0,95,0,0
00IU,   ,6T,    ,TIMSE,Timor Sea        ,SEA,-12.5,127.5,,0,96,0,0
00IZ,   ,4F,    ,FLRS,Flores Sea       ,SEA,-7.5,120,,0,97,0,0
00KT,   ,8Z,    ,SEAAZ,Azov             ,SEA,47.1,39.433333,,0,98,0,0
00KV,   ,8M,    ,MRMRA,Sea Of Marmara   ,SEA,40.833333,28,ILAP (name),1075769189,99,0,0
00LH,   ,3X,    ,GCHLI,Gulf Of Chihli   ,GLF,38.5,119,ILAP (name),1075769189,100,0,0
00LR,   ,3R,    ,KOR B,Korea Bay        ,BAY,39,124,,0,101,0,0
00NB,   ,3F,    ,FMSA,Formosa Stra     ,STR,24,119,,0,102,0,0
00NJ,   ,3C,    ,CLEBS,Sulu Sea         ,SEA,7.5,120,,0,103,0,0
00NT,   ,3G,    ,TONKN,Gulf Of Tonkin   ,GLF,20,107.5,ILAP (name),1075769189,104,0,0
00NV,   ,3T,    ,GSIAM,Gulf Of Siam     ,GLF,11,101,ILAP (name),1075769189,105,0,0
00P1,   ,3A,    ,NPAC,Ne Pacific       ,OCN,30,-120,,0,106,0,0
00P2,   ,4A,    ,SPAC,Southcntrlpacific,OCN,-30,-140,,0,107,0,0
00P3,   ,3A,    ,NPAC,Northcntrl Pacfic,OCN,30,-179,,0,108,0,0
00P4,   ,3A,    ,NPAC,Western Pacific  ,OCN,0.000277,160,,0,109,0,0
00P5,   ,4A,    ,SPAC,Se Pacific       ,OCN,-12,-84,,0,110,0,0
00P6,   ,6A,    ,INDOC,E Indian Ocean   ,OCN,-30,100,,0,111,0,0
00P7,   ,3A,    ,NPAC,Nwpac            ,OCN,45,157.333333,,0,112,0,0
00P8,   ,3A,    ,NPAC,Shikoku Basin    ,OCN,33.75,133.5,,0,113,0,0
00PG,   ,3A,    ,NPAC,Puget Oparus     ,OPA,48.5,-124.8,,0,114,0,0
00QE,   ,8G,    ,AGEAN,Aegean Sea       ,SEA,38.5,25,,0,115,0,0
00QF,   ,8D,    ,ADRTC,Adriatic Sea     ,SEA,43,15,,0,116,0,0
00RR,   ,6Q,    ,AQABA,Gulf Of Aqaba    ,GLF,29,35,ILAP (name),1075769189,117,0,0
00RX,   ,6W,    ,GSUEZ,Gulf Of Suez     ,GLF,28.166666,33.45,ILAP (name),1075769189,118,0,0
00RY,   ,6U,    ,SUFZC,Suez Canal       ,CNL,29.916666,32.55,,0,119,0,0
00SF,   ,3A,    ,NPAC,Sfran Oparus     ,OPA,37.7,-122.7,,0,120,0,0
00SW,   ,22,    ,LIA,Southwest Passage,CNL,28.866666,-89.35,,0,121,0,0
00TF,   ,8S,    ,STGIB,St Of Gibraltar  ,STR,36,-5.5,,0,122,0,0
00VB,   ,5B,    ,BRNTS,Barents Sea      ,SEA,72.5,35,,0,123,0,0
00VJ,   ,5L,    ,LNCLN,Lincoln Sea      ,SEA,83,-60,,0,124,0,0
00VK,   ,5C,    ,CKCHI,Chukchi Sea      ,SEA,70,-175,,0,125,0,0
00VL,   ,5P,    ,LPTV,Laptev Sea       ,SEA,77.5,125,,0,126,0,0
00VP,   ,5T,    ,NWPSG,Nw Passage       ,PSG,75,-120,,0,127,0,0
00VQ,   ,1P,    ,BAFN,Baffin Bay       ,BAY,72,-70,,0,128,0,0
00VR,   ,5K,    ,KARA,Kara Sea         ,SEA,75,75,,0,129,0,0
00VV,   ,5S,    ,ESBRN,E Siberia Sea    ,SEA,72,160,,0,130,0,0
00VW,   ,5W,    ,WHITS,White Sea        ,SEA,65.5,37.5,,0,131,0,0
00VX,   ,5U,    ,BUFRT,Beaufort Sea     ,SEA,72,135,,0,132,0,0
00XA,   ,8C,    ,CSPN,Caspian Sea      ,SEA,42,51,,0,133,0,0
00XB,   ,7B,    ,BLTC,Baltic Sea       ,SEA,56,20,,0,134,0,0
00XC,   ,1A,    ,NATL,W Atlantic Ocean ,OCN,37,-74,,0,135,0,0
00XD,   ,1A,    ,NATL,N Atlantic Ocn   ,OCN,30,-40,,0,136,0,0
00XE,   ,2A,    ,SATLO,S Atlantic Ocn   ,OCN,-30,-20,,0,137,0,0
00XF,   ,6R,    ,ARB,Arabian Sea      ,SEA,15,62,,0,138,0,0
00XG,   ,1M,    ,G MEX,Gulf Of Mexico   ,GLF,26,-90,ILAP (name),1075769189,139,0,0
00XH,   ,3E,    ,E CHI,E China Sea      ,SEA,31,126,,0,140,0,0
00XJ,   ,3J,    ,JAPSE,Sea Of Japan     ,SEA,40,135,ILAP (name),1075769189,141,0,0
00XK,   ,8B,    ,BLK S,Black Sea        ,SEA,43,34,,0,142,0,0
00XN,   ,3U,    ,SCHIS,S China Sea      ,SEA,15,115,,0,143,0,0
00XO,   ,3Q,    ,OKHTK,Sea Of Okhotsk   ,SEA,55,150,ILAP (name),1075769189,144,0,0
00XP,   ,6P,    ,PERSN,Persian Gulf     ,GLF,27,51,,0,145,0,0
00XQ,   ,8E,    ,EMEDS,Eastern Med      ,SEA,35,34,,0,146,0,0
00XR,   ,6E,    ,REDSE,Red Sea          ,SEA,20,40,,0,147,0,0
00XT,   ,8W,    ,WMEDS,Western Med      ,SEA,40,6,,0,148,0,0
00XY,   ,3A,    ,NPAC,N Pacific Ocn    ,OCN,40,-179,,0,149,0,0
00XZ,   ,4A,    ,SPAC,S Pacific Ocn    ,OCN,-40,-160,,0,150,0,0
00YA,   ,5F,    ,GALSK,Gulf Of Alaska   ,GLF,59,-140.001388,ILAP (name),1075769189,151,0,0
00YB,   ,5D,    ,BERSE,Bering Sea       ,SEA,59,-178,,0,152,0,0
00YC,   ,5Y,    ,ADYR,Gulf Of Anadyr   ,GLF,65,-170,ILAP (name),1075769189,153,0,0
00YF,   ,3N,    ,INLSE,Inland Sea       ,SEA,34.166666,133.25,,0,154,0,0
00YG,   ,3L,    ,G CAL,Gulf Of Californi,GLF,26,-110.5,,0,155,0,0
00YH,   ,3H,    ,HLMRA,Halmahera Se     ,SEA,-0.5,129,,0,156,0,0
00YL,   ,3C,    ,CLEBS,Celebes Sea      ,SEA,3,122.5,,0,157,0,0
00YM,   ,3M,    ,MLUCA,Molucca Sea      ,SEA,2.5,101.333333,,0,158,0,0
00YP,   ,3P,    ,PHILS,Philippine Sea   ,SEA,18,135,,0,159,0,0
00YR,   ,5R,    ,BERST,Bering Strait    ,STR,67,-170,,0,160,0,0
00YZ,   ,3P,00YZ,,Mcads Dz         ,OPA,6,122.833333,,,,,
00ZB,   ,4B,    ,BANDA,Banda Sea        ,SEA,-7,130,,0,161,0,0
00ZC,   ,4C,    ,CORAL,Coral Sea        ,SEA,-16,152.5,,0,162,0,0
00ZD,   ,4D,    ,AMNDS,Amundsen Sea     ,SEA,-72,-115,,0,163,0,0
00ZE,   ,4Q,    ,CERAM,Ceram Sea        ,SEA,-2.5,130,,0,164,0,0
00ZF,   ,7F,    ,GFINL,Gulf Of Finland  ,GLF,59.916666,26,ILAP (name),1075769189,165,0,0
00ZG,   ,4S,    ,SOLMS,Solomon Sea      ,SEA,-8,155,,0,166,0,0
00ZH,   ,4G,    ,BLGHN,Bellinghausen Sea,SEA,-72,-90,,0,167,0,0
00ZM,   ,4M,    ,MAKSR,Makassar Str     ,STR,-2,118,,0,168,0,0
00ZP,   ,4R,    ,ROSSE,Ross Sea         ,SEA,-70,180,,0,169,0,0
00ZS,   ,4T,    ,TASMS,Tasman Sea       ,SEA,-40,156,,0,170,0,0
00ZU,   ,4U,    ,ARFUR,Arafura Sea      ,SEA,-9,135,,0,171,0,0
00ZV,   ,4P,    ,CRPNT,Glf Carpentaria  ,GLF,-14,139,,0,172,0,0
00ZZ,   ,7K,    ,KTGAT,Kattegat         ,GLF,57,11,,0,173,0,0
02XY,   ,3A,    ,NPAC,E Pacific Ocean  ,OCN,22,-140,,0,174,0,0
2DKH,   ,BA,    ,BAHRA,Mcai Bahrain Mina,PRT,32.217777,-123.377777,,0,175,0,0
2KWD,   ,BA,    ,BAHRA,Mcshaikh Isa     ,APT,31.918332,-123.41,,0,176,0,0
2TXK,   ,BA,    ,BAHRA,Mcbahrain Int    ,IAP,32.271388,-123.366943,,0,177,0,0
3GVD,   ,DJ,    ,DJIBO,Mcdjibouti Amboul,JAP,17.550555,-130.840833,,0,178,0,0
3GVP,   ,DJ,    ,DJIBO,Mcdjibouti       ,PRT,17.618332,-130.86,,0,179,0,0
4GWH,   ,EG,    ,EGYPT,Mcbeni Suef      ,MAP,35.198888,-142.990833,,0,180,0,0
4WKW,   ,EG,    ,EGYPT,Mccairo West     ,AFD,36.114722,-143.082777,,0,181,0,0
5CVZ,   ,KU,    ,KUWAT,Mcahmed Al Jaber ,MAP,34.934999,-126.207777,,0,182,0,0
5EWV,   ,KU,    ,KUWAT,Mcali Al Salem Ab,MAP,35.353333,-126.018888,,0,183,0,0
5MDN,   ,KU,    ,KUWAT,Mckuwait Int     ,IAP,35.228332,-126.018888,,0,184,0,0
5PGN,   ,KU,    ,KUWAT,Mcash Shuaybah   ,PRT,35.051388,-125.832777,,0,185,0,0
6EPQ,   ,MU,    ,OMAN,Mcthumrait       ,MAP,23.660833,-119.974999,,0,186,0,0
6GHV,   ,MU,    ,OMAN,Mcseeb Int       ,JAP,29.593333,-115.715,,0,187,0,0
6KVV,   ,MU,    ,OMAN,Mcmisirah Island ,MAP,26.672777,-115.107777,,0,188,0,0
6RES,   ,MU,    ,OMAN,Mcsalalah        ,JAP,23.037777,-119.906944,,0,189,0,0
6VXA,   ,MU,    ,OMAN,Mcquaboos (port S,PRT,29.635555,-115.433888,,0,190,0,0
6ZYR,   ,MU,    ,OMAN,Mcsalalah (mina R,PRT,22.948333,-119.992777,,0,191,0,0
7CDL,   ,QA,    ,QATAR,Mcad Dawhah (doha,PRT,31.306666,-122.451944,,0,192,0,0
7CYW,   ,QA,    ,QATAR,Mcmesaieed North ,PRT,30.962222,-122.407777,,0,193,0,0
7HLZ,   ,QA,    ,QATAR,Mcdoha Int       ,IAP,31.257777,-122.427777,,0,194,0,0
8BFL,   ,SA,    ,SAUDI,Mcad Dammam(king),PRT,32.504444,-123.797777,,0,195,0,0
8DKA,   ,SA,    ,SAUDI,Mcal Jouf        ,JAP,35.779443,-133.900833,,0,196,0,0
8GZX,   ,SA,    ,SAUDI,Mcriyadh Ab      ,MAP,30.715277,-127.286944,,0,197,0,0
8JAB,   ,SA,    ,SAUDI,Mcking Abdul Aziz,MAP,32.266111,-123.848888,,0,198,0,0
8JAZ,   ,SA,    ,SAUDI,Mcking Khalid Mil,APT,33.900833,-128.471943,,0,199,0,0
8LDD,   ,SA,    ,SAUDI,Mcprince Sultan A,MAP,30.060833,-126.432777,,0,200,0,0
8PPX,   ,SA,    ,SAUDI,Mctabuk          ,MAP,34.366111,-137.381943,,0,201,0,0
8QXC,   ,SA,    ,SAUDI,Mctaif           ,JAP,27.488888,-133.460833,,0,202,0,0
8UTP,   ,SA,    ,SAUDI,Mcjeddah         ,PRT,27.476388,-134.831943,,0,203,0,0
8WEV,   ,SA,    ,SAUDI,Mcjubail         ,PRT,33.02611,-124.337777,,0,204,0,0
9BAL,   ,TU,    ,TURKY,Mcmersin         ,PRT,42.812222,-139.350833,,0,205,0,0
9BQH,   ,TU,    ,TURKY,Mcadana (civilian,CAP,42.98111,-138.717777,,0,206,0,0
9EWX,   ,TU,    ,TURKY,Mcderince        ,PRT,46.758333,-144.173888,,0,207,0,0
9GQS,   ,TU,    ,TURKY,Mcdiyarbakir     ,JAP,43.893055,-133.800833,,0,208,0,0
9JYC,   ,TU,    ,TURKY,Mcincirlik Ab    ,MAP,43.006111,-138.576943,,0,209,0,0
9LGS,   ,TU,    ,TURKY,Mcantalya        ,JAP,42.898888,-143.201944,,0,210,0,0
9MRA,   ,TU,    ,TURKY,Mcisdemir (payas),PRT,42.740833,-137.795833,,0,211,0,0
9RNC,   ,TU,    ,TURKY,Mcizmir (smyrna) ,PRT,44.44861,-146.858888,,0,212,0,0
9YYM,   ,TU,    ,TURKY,Mcbatman         ,MAP,43.929721,-132.876943,,0,213,0,0
A2KN,   ,AE,    ,UARAB,Mcal Ain Int     ,APT,30.262222,-118.383888,,0,214,0,0
A2L3,   ,AE,    ,UARAB,Mcal Dhafra      ,MAP,30.248055,-119.451944,,0,215,0,0
A2VW,   ,AE,    ,UARAB,Mcabu Dhabi Int  ,IAP,30.432777,-119.348888,,0,216,0,0
A4JC,   ,CY,    ,CYPRS,Mcakrotiri       ,MAP,40.583888,-141.015833,,0,217,0,0
AA00,   ,AA,    ,ARUBA,Aruba            ,OPA,12.5,-70,,0,0,,0
AAAA,   ,BE,    ,BELG,Aalter           ,CTY,51.074999,3.441666,,0,218,0,0
AAAB,   ,GM,    ,GERMA,Aafes Whse 4 Sea ,SVC,52.410833,13.270277,,0,219,0,0
AAAC,   ,47,    ,TENN,Chattanooga      ,RTC,35.017221,-85.299166,,0,220,0,0
AAAD,   ,34,    ,N J,Lodi             ,RTC,40.895833,-74.07361,,0,221,0,0
AAAE,   ,1,    ,ALA,Livingston       ,RTC,32.584166,-88.124166,,0,222,0,0
AAAF,   ,56,WY11,WYO,A A Ranch        ,APT,41.156944,-106.5625,,0,223,0,0
AAAG,   ,27,    ,MINN,Buffalo          ,RTC,45.197777,-93.865555,,0,224,0,0
AAAH,   ,25,    ,MASS,Springfield      ,RTC,42.152222,-72.572499,,0,225,0,0
AAAJ,   ,37,    ,N CAR,Wilmington       ,RTC,34.208888,-77.934444,,0,226,0,0
AAAN,   ,AR,SADS,,Aeroclub Argentin,CAP,-34.731388,-58.599444,,,,,
AAAU,   ,IN,VODG,INDIA,Dundigul         ,MAP,17.630554,78.405,,0,227,0,0
AABJ,LC6,HU,    ,,Baja             ,PRT,46.183333,18.9525,,,,,
AABN,   ,49,03UT,UTAH,A Z Minerals Corp,APT,37.120832,-109.98611,,0,228,0,0
AABQ,   ,DA,    ,DENMK,Aabenraa         ,PRT,55.033333,9.416666,,0,229,0,0
AABR,ABD,IR,OIAA,IRAN,Abadan           ,AFD,30.37111,48.228332,,0,230,0,0
AABS,   ,DA,    ,DENMK,Aabenraa         ,CTY,55.05,9.433333,,0,231,0,0
AABT,   ,GV,    ,,Bata             ,PRT,7.583333,-9.166666,,,,,
AABV,   ,KS,    ,SKORE,H210 Ahp Uijongbu,MAP,37.740277,127.044999,,0,232,0,0
AABX,   ,KS,RKST,SKORE,H 220 Heliport   ,MAP,37.92111,127.055555,,0,233,0,0
AABZ,QUN,KS,RKNC,SKORE,A 306            ,MAP,37.883888,127.718054,,0,234,0,0
AACA,   ,GM,    ,GERMA,Aachen           ,AIN,50.766666,6.1,,0,235,0,0
AACC,   ,KS,    ,SKORE,A 805            ,AFD,35.838333,128.591944,,0,236,0,0
AACH,   ,GM,    ,GERMA,Aachen           ,CTY,50.766666,6.1,,0,237,0,0
AACZ,   ,MX,MMTG,,Angel Albino Corz,CAP,16.561944,-93.02611,,,,,
AADG,   ,GM,    ,GERMA,Aalen            ,CTY,48.833333,10.1,,0,238,0,0
AADH,   ,DA,    ,DENMK,Aalborg          ,CTY,57.083333,9.85,,0,239,0,0
AADJ,AAL,DA,EKYT,DENMK,Aalborg          ,IAP,57.093055,9.85,,0,240,0,0
AADL,   ,NL,    ,NETHE,Aalsmeer         ,CTY,52.233333,4.716666,,0,241,0,0
AADM,   ,RS,    ,RUSSI,Aares Vuonq Reloc,NYI,69.77861,30.929443,,0,242,0,0
AADN,   ,21,    ,KEN,Aaron            ,CTY,36.8125,-85.180832,,0,243,0,0
AADP,   ,DA,    ,DENMK,Aarhus           ,CTY,56.15,10.216666,,0,244,0,0
AADS,   ,42,    ,PENN,Aaronsburg       ,CTY,41.883333,-77.383333,,0,245,0,0
AADT,JC2,DA,    ,DENMK,Aarhus           ,PRT,56.15,10.216666,,0,246,0,0
AADU,   ,NO,    ,NORWY,Alesund          ,PRT,62.466666,6.133333,,0,247,0,0
AADV,   ,NO,    ,NORWY,Aalesund         ,POL,62.466666,6.133333,,0,248,0,0
AADW,MOL,NO,ENML,NORWY,Aro              ,CAP,62.745833,7.274443,,0,249,0,0
AAEC,   ,13,    ,GEO,Abac College     ,SCH,31.54111,-83.540833,,0,250,0,0
AAEE,JIM,ET,HAJM,ETHIO,Jimma            ,APT,7.67111,36.825832,,0,251,0,0
AAEG,DIR,ET,HADR,ETHIO,Dire Dawa Intl   ,JAP,9.624443,41.853611,,0,252,0,0
AAEH,   ,IR,    ,IRAN,Abadan           ,CTY,30.366666,48.233333,,0,253,0,0
AAEK,   ,IR,OICD,IRAN,Abdanan          ,APT,32.933888,47.483333,,0,254,0,0
AAEL,PM3,IR,    ,IRAN,Abadan           ,PRT,30.333333,48.266666,,0,255,0,0
AAEP,ABF,KR,    ,KRBTI,Abaiang          ,APT,1.791666,173.05,,0,256,0,0
AAEQ,   ,BR,SSAB,BRAZL,Ibaiti           ,AFD,-23.754444,-50.292221,,0,257,0,0
AAER,   ,IT,    ,ITALY,Abano            ,CTY,45.35,11.783333,,0,258,0,0
AAFB,   ,EN,EEEI,,Amari Vasalemma  ,MAP,59.260277,24.208611,,,,,
AAFJ,   ,18,    ,IND,Abington         ,CTY,39.733054,-84.963055,,0,259,0,0
AAFK,   ,JA,    ,JAPAN,Abashiri         ,CTY,44.016666,144.283333,,0,260,0,0
AAFM,   ,13,    ,GEO,Abbeville        ,CTY,31.983333,-83.316666,,0,261,0,0
AAFP,   ,28,    ,MISS,Abbeville        ,CTY,34.466666,-89.533333,,0,262,0,0
AAFR,   ,1,    ,ALA,Abbeville        ,CTY,31.533333,-85.266666,,0,263,0,0
