GEOLOC_CD,MILSTAMP_CD,WTR_BDY_CD,ICAO_CD,CTRY_CD,GEOLOC_NM,GEOLOC_TY_CD,LAT_CN,LONG_CN,UPD_SOURCE,UPDATE_TIME,GEOLOC_INDX,TRX_TIME,TRX_DELETED
AFXK,   ,6,    ,CAL,Alta Hill        ,RPA,39.2,-121.066666,,0,1273,0,0
AFXM,   ,19,    ,IOWA,Alta Vista       ,CTY,43.19861,-92.416943,,0,1274,0,0
AFXR,   ,20,    ,KAN,Alta Vista       ,CTY,38.863888,-96.488888,,0,1275,0,0
AFXV,AFL,BR,SBAT,BRAZL,Alta Floresta    ,AFD,-9.869999,-56.106666,,0,1276,0,0
AFYG,   ,6,    ,CAL,Altadena         ,CTY,34.2,-118.133333,,0,1277,0,0
AFYP,   ,MX,    ,MEXIC,Altamira         ,PRT,22.491666,-97.874999,,0,1278,0,0
AFYR,ATM,BR,SBHT,BRAZL,Altamira         ,APT,-3.250555,-52.251666,,0,1279,0,0
AFYS,   ,41,    ,ORE,Altamont         ,CTY,44.2,-121.71861,,0,1280,0,0
AFZG,   ,IT,    ,ITALY,Altare           ,CTY,44.333333,8.333333,,0,1281,0,0
AFZN,   ,17,    ,ILL,Altamont         ,CTY,39.061944,-88.748055,,0,1282,0,0
AFZQ,   ,20,    ,KAN,Altamont         ,CTY,37.190277,-95.296944,,0,1283,0,0
AFZW,   ,36,    ,N Y,Altamont         ,CTY,42.700555,-74.034166,,0,1284,0,0
AFZY,   ,46,    ,S DAK,Altamont         ,CTY,44.839721,-96.689166,,0,1285,0,0
AG00,   ,AG,    ,ALGER,Algeria          ,OPA,36.783333,3.05,,0,0,,0
AG01,PEE,RS,USPP,,Bolshoye Savino  ,CAP,57.914444,56.02111,,,,,
AG02,BTK,RS,UIBB,,Bratsk           ,CAP,56.370832,101.69861,,,,,
AG03,CSY,RS,UWKS,,Cheboksary       ,CAP,56.090277,47.347221,,,,,
AG04,DME,RS,UUDD,,Domodedovo       ,CAP,55.408888,37.906388,,,,,
AG05,VOG,RS,URWW,,Gumrak           ,CAP,48.782499,44.344999,,,,,
AG06,BQS,RS,UHBB,,Ignatyevo        ,CAP,50.425277,127.4125,,,,,
AG07,NJC,RS,USNN,,Nizhnevartovsk   ,CAP,60.949166,76.48361,,,,,
AG10,UUS,RS,UHSS,,Khomutovo        ,CAP,46.88861,142.717499,,,,,
AG11,KGD,RS,UMKK,,Khrabrovo        ,CAP,54.889999,20.592499,,,,,
AG12,VVO,RS,UHWW,,Knevichi         ,CAP,43.399166,132.151388,,,,,
AG13,KGP,RS,USRK,,Kogalym          ,CAP,62.190555,74.533888,,,,,
AG14,SVX,RS,USSS,,Koltsovo         ,CAP,56.741388,60.803611,,,,,
AG17,URS,RS,UUOK,,Kursk            ,CAP,51.750555,36.295555,,,,,
AG18,KHV,RS,UHHH,,Novy             ,CAP,67.683333,72.916666,,,,,
AG19,PWE,RS,UHMP,,Pevek            ,CAP,69.783333,170.596944,,,,,
AG21,RAT,RS,USNR,,Raduzhny         ,CAP,62.158611,77.328888,,,,,
AG23,SLY,RS,USDD,,Salekhard        ,CAP,66.590833,66.611111,,,,,
AG24,GDX,RS,UHMM,,Sokol            ,CAP,59.911111,150.720554,,,,,
AG25,SGC,RS,USRR,,Surgut           ,CAP,61.34361,73.401944,,,,,
AGAC,AGU,MX,MMAS,MEXIC,Jesus Teran Intl ,APT,21.700277,-102.317221,,0,1286,0,0
AGAE,   ,12,    ,FLA,Altamonte Springs,CTY,28.6,-81.366666,,0,1287,0,0
AGAF,   ,BR,    ,BRAZL,Agua Braca West  ,APT,-5.581388,-43.644999,,0,1288,0,0
AGAG,   ,BR,    ,BRAZL,Agrpecuria Vale  ,APT,-14.083333,-60.233333,,0,1289,0,0
AGAH,   ,CA,    ,CANAD,Agnes Lake       ,APT,55.816666,-112.516666,,0,1290,0,0
AGAJ,   ,CO,    ,COLOM,Aguazul Southeast,AFD,5.053888,-72.446666,,0,1291,0,0
AGAK,   ,CO,    ,COLOM,Babilonia        ,AFD,10.201944,-73.403611,,0,1292,0,0
AGAM,   ,EG,    ,EGYPT,Agami Complex    ,ADM,31.15,29.783333,,0,1293,0,0
AGAS,   ,VE,    ,VENEZ,Agropec Los Aragu,AFD,9.583333,-63.317499,,0,1294,0,0
AGAT,AGX,IN,VOAT,,Agatti           ,CAP,10.82361,72.175832,,,,,
AGBA,   ,CO,    ,COLOM,Agua Clara West  ,AFD,4.746666,-73.058333,,0,1295,0,0
AGCB,   ,SP,    ,SPAIN,Altea            ,PRT,38.6,-0.05,,0,1296,0,0
AGCC,   ,GM,    ,GERMA,Altenkirchen     ,CTY,50.683333,7.666666,,0,1297,0,0
AGCD,   ,GM,    ,GERMA,Alten Schneeberg ,CTY,49.433333,12.55,,0,1298,0,0
AGCF,   ,GM,    ,GERMA,Altbach          ,CTY,48.716666,9.366666,,0,1299,0,0
AGCG,   ,51,    ,VIR,Altavista        ,CTY,37.033333,-79.283333,,0,1300,0,0
AGCJ,   ,GM,    ,GERMA,Alten Buseck     ,STG,51.3,7.666666,,0,1301,0,0
AGCK,   ,12,    ,FLA,Altha            ,CTY,30.571666,-85.128332,,0,1302,0,0
AGCL,   ,GM,    ,GERMA,Altena           ,CTY,51.3,7.666666,,0,1303,0,0
AGCM,   ,5,    ,ARK,Altheimer        ,CTY,34.319166,-91.847221,,0,1304,0,0
AGCN,   ,GM,    ,GERMA,Altenburg Storage,STG,50.726943,9.281943,,0,1305,0,0
AGCP,   ,TU,    ,TURKY,Altinova 01      ,ADM,39.216666,26.783333,,0,1306,0,0
AGCQ,   ,TU,    ,TURKY,Altinova 02      ,ADM,39.216666,26.783333,,0,1307,0,0
AGCR,   ,TU,    ,TURKY,Altinova 03      ,ADM,39.216666,26.783333,,0,1308,0,0
AGCS,   ,TU,    ,TURKY,Altinova 04      ,ADM,39.216666,26.783333,,0,1309,0,0
